ref_area,indicator,source,sex,classif1,time,obs_value
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2001,40.15
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2001,31.55
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2001,33.79
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2001,40.65
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2001,31.62
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE15,2001,33.61
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_Y15-24,2001,39.71
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE25,2001,31.49
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2000,32.02
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2000,38.62
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2000,29.84
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2000,32.18
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2000,39.14
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2000,29.99
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE15,2000,31.87
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_Y15-24,2000,38.15
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE25,2000,29.69
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE15,2022,0.1
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE15,2021,0.1
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE15,2020,0.1
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE15,2019,0.1
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_Y15-24,2019,0.32
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE25,2019,0.08
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_YGE15,2019,0.09
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_Y15-24,2019,0.19
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_YGE25,2019,0.08
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_YGE15,2019,0.11
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_Y15-24,2019,0.5
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_YGE25,2019,0.08
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE15,2018,0.04
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_Y15-24,2018,0.11
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE25,2018,0.03
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_YGE15,2018,0.03
