country,population,region,est_modern_slavery_per_1000_population,est_people_in_modern_slavery,governance_issues,lack_of_basic_needs,inequality,disenfranchised_groups,effects_of_conflict,total_vulnerability_score_percent,slavery_survivors_remain_out_of_slavery_percent,criminal_justice_prevents_modern_slavery_percent,government_coordination_and_response_accountability_percent,social_risks_address_modern_slavery_percent,government_and_businesses_dont_source_forced_labor_percent,total_government_response_percent
India,1380004000,Asia and the Pacific,8.007246017456055,11050000,45.57354123673933,47.99055504674936,40.23796340679117,55.27264381884945,79.7398363224371,55.9801094613487,36.3636360168457,57.69230651855469,75,50,0,46.15384674072266
Indonesia,273524000,Asia and the Pacific,6.702832221984863,1833000,34.5456436580581,48.31921093142864,45.75382579179687,77.12931456548347,38.85667201875199,48.63253801383483,45.45454406738281,65.38461303710938,50,57.14285659790039,0,50
Iran,83993000,Asia and the Pacific,7.104307174682617,597000,79.86663904720065,34.64611650063201,44.55291803494872,81.51352509179925,40.20860913032434,68.45613063573391,-4.545454502105713,19.23077011108398,25,0,0,7.692307472229004
Iraq,40223000,Arab States,5.49226226733973,221000,77.8090190659309,44.39524695771612,62.5283457438151,78.45726234190127,83.41334450357374,82.30540812527585,40.90909194946289,38.46154022216797,37.5,28.5714282989502,0,33.33333206176758
Ireland,4938000,Europe and Central Asia,1.101991295814514,5000,13.76836076725436,24.78747864624436,27.2287697158081,18.32114443084456,17.76529499866711,9.333911783690326,59.09090805053711,69.23076629638672,87.5,64.28571319580078,25,62.82051467895508
Israel,8656000,Europe and Central Asia,3.792859554290771,33000,45.99268095073064,31.98069031221702,28.46531772545981,44.21129130966952,24.51913438257357,35.43303812106679,40.90909194946289,50,62.5,57.14285659790039,0,44.87179565429688
Italy,60462000,Europe and Central Asia,3.26297926902771,197000,22.08266688519975,23.80183766759004,38.01356396588135,38.83223174214606,25.89077412505026,21.69834077845412,50,65.38461303710938,62.5,78.57142639160156,25,58.97435760498047
Jamaica,2961000,Americas,7.287474155426025,22000,39.12395797110459,37.50630450799703,79.27124746666667,52.34654222766218,12.48038419393436,45.1316666188503,40.90909194946289,61.53845977783203,87.5,57.14285659790039,0,51.28205108642578
Japan,126476000,Asia and the Pacific,1.140809535980225,144000,16.78596474153698,19.52796753024896,16.58783508823242,40.04365565075479,18.88045537238894,11.43464895336334,45.45454406738281,42.30769348144531,62.5,57.14285659790039,0,43.58974456787109
Jordan,10203000,Arab States,10.005855967217204,102000,50.6820455571928,38.06056822396521,34.54029485220134,79.84073847409222,27.02740959636347,49.29815803249815,50,53.84615325927734,50,50,0,46.15384674072266
Kazakhstan,18777000,Europe and Central Asia,11.06179714202881,208000,53.51226741810376,21.3628928518833,36.35609900011801,67.87133822929417,21.45032329729989,42.07077800139496,45.45454406738281,50,50,64.28571319580078,0,46.15384674072266
Kenya,53771000,Africa,5.003462791442871,269000,56.75711974149249,57.19741785880434,48.08745609755047,67.534394124847,63.20931082203171,66.17329184364702,54.54545593261719,50,50,50,0,46.15384674072266
Kosovo,0,Europe and Central Asia,8.021943092346191,14000,57.813724631415,26.20391503009791,34.0877342224121,62.24020807833537,1,40.35852075960894,59.09090805053711,50,50,35.71428680419922,0,44.5945930480957
Kuwait,4271000,Arab States,12.959253188009185,55000,43.78773322144627,30.76738767575182,30.03648492873266,60.55615055079559,30.97842510282887,38.91413149706471,36.3636360168457,42.30769348144531,50,42.85714340209961,0,37.17948532104492
Kyrgyzstan,6524000,Europe and Central Asia,8.725506782531738,57000,65.44235712836141,34.08612836987181,41.93859891820271,75.76266829865361,17.51382909834399,54.72198722532689,40.90909194946289,65.38461303710938,62.5,42.85714340209961,0,47.43589782714844
Lao PDR,7276000,Asia and the Pacific,5.161807537078857,38000,56.98328029318265,54.65535795075923,37.84391358636881,60.45976132190943,9.772104122664457,51.53891224566895,59.09090805053711,50,50,42.85714340209961,0,46.15384674072266
Latvia,1886000,Europe and Central Asia,3.378555059432983,6000,16.08721430791821,19.85211998024997,34.31964769473471,40.79498164014688,25.95002838840191,16.83542015269315,63.6363639831543,65.38461303710938,62.5,57.14285659790039,25,58.97435760498047
Lebanon,6825000,Arab States,7.567281429788705,52000,58.94418431148608,45.28427075873883,44.96412419468385,74.11197470420238,41.74793822709066,59.97991052358088,31.81818199157715,42.30769348144531,50,28.5714282989502,0,33.33333206176758
Lesotho,2142000,Africa,1.646948337554932,4000,61.98465750427635,69.11015298009492,50.58908170042318,56.02998776009792,1.247706422018349,59.40494354074929,36.3636360168457,50,50,42.85714340209961,0,39.74359130859375
Liberia,5058000,Africa,3.14580249786377,16000,55.12918544527294,64.40200833576293,38.7381015777588,67.39152386780906,12.83080298099584,56.064437896472,50,42.30769348144531,50,42.85714340209961,0,41.02564239501953
Libya,6871000,Africa,6.821667194366455,47000,75.87294500351933,48.84518898264728,64.2071933746338,66.45654834761322,81.54065623680644,80.29537378734653,-9.090909004211426,34.61538314819336,25,-7.142857074737549,0,10.25641059875488
Liechtenstein,0,Europe and Central Asia,,,,,,,,,27.27272796630859,42.30769348144531,25,28.5714282989502,12.5,30.76922988891602
Lithuania,2722000,Europe and Central Asia,6.085984230041504,17000,25.01774854913534,18.64042622847048,29.21290227763469,56.43827009383924,15.87326598251053,21.26974150587318,59.09090805053711,65.38461303710938,50,64.28571319580078,25,57.69230651855469
Luxembourg,626000,Europe and Central Asia,,,,,,,,,50,61.53845977783203,50,50,25,51.28205108642578
Madagascar,27691000,Africa,4.572755336761475,127000,48.46902462030005,59.73642899911787,65.49267044067383,73.54804161566707,18.0135954286579,59.62871737089615,40.90909194946289,65.38461303710938,25,35.71428680419922,0,42.30769348144531
Malawi,19130000,Africa,4.865484237670898,93000,49.25191202834047,51.74953020494679,53.90773674714762,77.32512239902081,14.95338158437038,54.87604283540575,54.54545593261719,46.15384674072266,37.5,21.4285717010498,0,38.46154022216797
Malaysia,32366000,Asia and the Pacific,6.255043506622314,202000,30.18622439126965,32.62854695665382,38.27909468061115,72.05291717666258,32.61356734857178,37.15885008690078,40.90909194946289,57.69230651855469,50,50,0,44.87179565429688
Maldives,541000,Asia and the Pacific,,,,,,,,,40.90909194946289,38.46154022216797,37.5,50,0,37.17948532104492
Mali,20251000,Africa,5.233090400695801,106000,62.76458871426213,43.01476485240211,62.52504735358612,71.46328029375765,84.13151859007233,72.71234300654032,22.72727203369141,50,50,14.2857141494751,0,30.76922988891602
Malta,442000,Europe and Central Asia,,,,,,,,,63.6363639831543,57.69230651855469,37.5,28.5714282989502,25,48.71794891357422
Mauritania,4650000,Africa,32.01548385620117,149000,77.76343113362942,45.9242824768901,38.35477771585489,86.99158506731946,15.14812761061122,66.12226331919237,27.27272796630859,53.84615325927734,37.5,28.5714282989502,0,34.61538314819336
Mauritius,1272000,Africa,1.507123351097107,2000,20.9082974643883,24.52630142479469,39.3887116434448,46.859241126071,7.63586643942264,19.93046737136174,31.81818199157715,50,25,42.85714340209961,0,35.89743423461914
Mexico,128933000,Americas,6.589330673217773,850000,48.94402289664882,35.32218596270855,69.49474193371583,48.63263973888209,74.85036344840114,58.08316401415551,50,65.38461303710938,87.5,57.14285659790039,0,55.12820434570313
Moldova,4034000,Europe and Central Asia,9.474068641662598,38000,30.88659974617443,42.32210085853603,33.01372572663982,68.31961444308445,17.973279311533,35.97742784174802,45.45454406738281,50,62.5,57.14285659790039,12.5,47.43589782714844
Mongolia,3278000,Asia and the Pacific,4.044466495513916,13000,50.18507301028408,49.85426991708908,44.45824596194661,66.78929008567933,14.1013163092831,50.12350020691984,36.3636360168457,53.84615325927734,25,42.85714340209961,12.5,39.74359130859375
Montenegro,628000,Europe and Central Asia,,,,,,,,,68.18181610107422,73.07691955566406,62.5,57.14285659790039,0,60.25640869140625
Morocco,36911000,Africa,2.292283058166504,85000,51.05065560045485,34.22588699262334,40.1627442052002,61.28320073439412,20.0395346065569,44.31475703230105,22.72727203369141,53.84615325927734,50,57.14285659790039,0,39.74359130859375
Mozambique,31255000,Africa,2.974953413009644,93000,58.25344644170031,62.51201969422141,57.26965697650554,57.9798041615667,54.05123370500116,67.14662783066453,50,53.84615325927734,50,42.85714340209961,0,44.87179565429688
Myanmar,54410000,Asia and the Pacific,12.07966709136963,657000,64.95577766171483,50.45144790763811,33.8160601298014,74.518788249694,69.3327146310223,67.43775615436518,50,42.30769348144531,75,35.71428680419922,0,42.30769348144531
Namibia,2541000,Africa,2.351321458816528,6000,37.85097894623215,60.65733887522781,54.78071982192789,56.76943084455324,10.49155431940657,46.9669209138301,54.54545593261719,46.15384674072266,25,57.14285659790039,0,43.58974456787109
Nepal,29137000,Asia and the Pacific,3.322043418884277,97000,46.6980050983762,55.13116923130136,39.39090660540569,37.81242350061198,33.28702491204918,46.35864725919419,36.3636360168457,57.69230651855469,62.5,50,0,44.87179565429688
Netherlands,17135000,Europe and Central Asia,0.5684135556221008,10000,10.9142069883684,18.92436203096917,23.23529837834472,17.84920440636475,23.62793631375312,5.964194030445371,77.2727279663086,61.53845977783203,87.5,64.28571319580078,37.5,66.66666412353516
New Zealand,4822000,Asia and the Pacific,1.611743211746216,8000,13.98478975763776,23.49089721113031,11.34153970152993,30.96105671154631,17.09290313896719,7.816283510458578,45.45454406738281,65.38461303710938,50,64.28571319580078,25,53.84615325927734
Nicaragua,6625000,Americas,7.343417167663574,49000,51.54987409956215,43.59709560777738,58.29632096246338,62.52462260301917,29.14478391738496,53.92314317197637,27.27272796630859,50,37.5,42.85714340209961,0,35.89743423461914
Niger,24207000,Africa,4.645125389099121,112000,68.00413847054993,59.24665567225851,62.6447858174642,63.77004283965728,66.0620151482304,75.84613659508516,22.72727203369141,53.84615325927734,50,42.85714340209961,0,37.17948532104492
Nigeria,206140000,Africa,7.81476354598999,1611000,57.06049802875106,54.59164903774587,58.38815163158773,78.17131782945737,93.39308006831165,75.78220042253054,68.18181610107422,57.69230651855469,50,57.14285659790039,0,53.84615325927734
North Korea,25779000,Asia and the Pacific,104.6,2696000,92.66133720930232,63.91876703818808,23.33223780015802,52.09202026383789,4.944843971252896,67.01499449667587,-9.090909004211426,7.692307472229004,12.5,-21.4285717010498,0,-2.564102649688721
North Macedonia,2083000,Europe and Central Asia,12.60249519348145,26000,35.00832952427741,33.97801003097096,36.25796290062051,80.375,15.12128437455205,38.11045542186494,68.18181610107422,65.38461303710938,75,50,0,57.69230651855469
Norway,5421000,Europe and Central Asia,0.5151357054710388,3000,3.607760324737185,25.82023244165189,14.19688096124776,14.16344349245205,20.59367017452049,1,54.54545593261719,73.07691955566406,75,64.28571319580078,37.5,62.82051467895508
